date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:34	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225a349d7a-247c%22	http://joelpinheiro.github.io/fonts/glyphicons-halflings-regular.woff	C:/Meus%20Sites/copy/joelpinheiro.github.io/fonts/glyphicons-halflings-regular.woff	(from http://joelpinheiro.github.io/css/bootstrap.min.css)
22:55:35	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225a349d7a-247c%22	http://joelpinheiro.github.io/fonts/glyphicons-halflings-regular.ttf	C:/Meus%20Sites/copy/joelpinheiro.github.io/fonts/glyphicons-halflings-regular.ttf	(from http://joelpinheiro.github.io/css/bootstrap.min.css)
22:55:35	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22595d293a-247c%22	http://joelpinheiro.github.io/fonts/glyphicons-halflings-regular.svg	C:/Meus%20Sites/copy/joelpinheiro.github.io/fonts/glyphicons-halflings-regular.svg	(from http://joelpinheiro.github.io/css/bootstrap.min.css)
22:55:38	35175/35175	---MC-	200	added ('OK')	text/javascript	date:Thu,%2012%20Apr%202018%2018:13:11%20GMT	https://www.google-analytics.com/analytics.js	C:/Meus%20Sites/copy/www.google-analytics.com/analytics.js	(from http://joelpinheiro.github.io/)
22:55:38	165065/165065	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/images/photo2.jpg	C:/Meus%20Sites/copy/joelpinheiro.github.io/images/photo2.jpg	(from http://joelpinheiro.github.io/)
22:55:44	56006/56006	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/fonts/fontawesome-webfont.eot?v=4.2.0	C:/Meus%20Sites/copy/joelpinheiro.github.io/fonts/fontawesome-webfont78ce.eot	(from http://joelpinheiro.github.io/css/font-awesome.min.css)
22:55:44	56006/56006	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/fonts/fontawesome-webfont.eot?	C:/Meus%20Sites/copy/joelpinheiro.github.io/fonts/fontawesome-webfontd41d.eot	(from http://joelpinheiro.github.io/css/font-awesome.min.css)
22:55:44	287007/287007	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/fonts/fontawesome-webfont.svg?v=4.2.0	C:/Meus%20Sites/copy/joelpinheiro.github.io/fonts/fontawesome-webfont78ce.svg	(from http://joelpinheiro.github.io/css/font-awesome.min.css)
22:55:46	118/118	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/img/overlay.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/img/overlay.png	(from http://joelpinheiro.github.io/css/style.css)
22:55:48	926/926	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Apr%202018%2021:30:11%20GMT	http://joelpinheiro.github.io/img/overlay-video.png	C:/Meus%20Sites/copy/joelpinheiro.github.io/img/overlay-video.png	(from http://joelpinheiro.github.io/css/style.css)
